company,position,status,applied_on
Google,Software Engineer,Pending,2024-01-01
Microsoft,Data Analyst,Accepted,2024-01-02
Amazon,Frontend Developer,Rejected,2024-01-03
Apple,Backend Developer,Interview,2024-01-04
Facebook,Product Manager,Offer Extended,2024-01-05
Netflix,Data Scientist,Pending,2024-01-06
Tesla,Embedded Engineer,Accepted,2024-01-07
Adobe,UI/UX Designer,Rejected,2024-01-08
Intel,DevOps Engineer,Interview,2024-01-09
IBM,Security Analyst,Offer Extended,2024-01-10
Oracle,Cloud Engineer,Pending,2024-01-11
Twitter,Marketing Analyst,Accepted,2024-01-12
Snapchat,QA Engineer,Rejected,2024-01-13
Spotify,Systems Architect,Interview,2024-01-14
Salesforce,AI Engineer,Offer Extended,2024-01-15
Airbnb,Machine Learning Engineer,Pending,2024-01-16
Uber,Database Administrator,Accepted,2024-01-17
Lyft,Full Stack Developer,Rejected,2024-01-18
Cisco,Business Analyst,Interview,2024-01-19
Dell,Cybersecurity Engineer,Offer Extended,2024-01-20
